orig_source	seqid	short_seqid	label	taxon	kingdom	phylum	klass	order	family	master_seqid	orig_seqid	exons	adj_exons
bothref99_annots.tsv	BGC0000003__BAD97694.1	BGC0000003__BAD97694.1	AFT9-1|Polyketide (AF-toxin)|Aft9-1 (biosynthetic)	Alternaria alternata	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	BGC0000003__BAD97694.1	None	None	None
bothref99_annots.tsv	BGC0000004__BAE71314.1	BGC0000004__BAE71314.1	pksA|Polyketide (aflatoxin G1)|polyketide synthase (biosynthetic)	Aspergillus oryzae	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000004__BAE71314.1	None	None	None
bothref99_annots.tsv	BGC0000006__AAS90093.1	BGC0000006__AAS90093.1	pksA|Polyketide (aflatoxin)|PksA (biosynthetic)	Aspergillus flavus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000004__BAE71314.1	None	None	None
bothref99_annots.tsv	BGC0000007__AAS89999.1	BGC0000007__AAS89999.1	PksA|Polyketide (aflatoxin)|PksA (biosynthetic)	Aspergillus flavus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000007__AAS89999.1	None	None	None
bothref99_annots.tsv	BGC0000008__AAS90022.1	BGC0000008__AAS90022.1	PksA|Polyketide (aflatoxin)|PksA (biosynthetic)	Aspergillus flavus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000004__BAE71314.1	None	None	None
bothref99_annots.tsv	BGC0000009__AAS90047.1	BGC0000009__AAS90047.1	PksA|Polyketide (aflatoxin)|PksA (biosynthetic)	Aspergillus nomiae	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000009__AAS90047.1	None	None	None
bothref99_annots.tsv	BGC0000011__ACH72912.1	BGC0000011__ACH72912.1	StcA|Polyketide (sterigmatocystin)|AflC (biosynthetic)	Aspergillus ochraceoroseus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000011__ACH72912.1	None	None	None
bothref99_annots.tsv	BGC0000012__BAD83684.1	BGC0000012__BAD83684.1	alt5|Polyketide (alternapyrone)|PKSN polyketide synthase for alternapyrone biosynthesis (biosynthetic)	Alternaria solani	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	BGC0000012__BAD83684.1	None	None	None
bothref99_annots.tsv	BGC0000013__CBF79143.1	BGC0000013__CBF79143.1	ANIA_07071|Polyketide (alternariol)|polyketide synthase, putative (JCVI) (biosynthetic)	Aspergillus nidulans FGSC A4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000013__CBF79143.1	None	None	None
bothref99_annots.tsv	BGC0000022__EAA65602.1	BGC0000022__EAA65602.1	AN1034.2|Polyketide (asperfuranone)|hypothetical protein (biosynthetic)	Aspergillus nidulans FGSC A4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000022__EAA65602.1	None	None	None
bothref99_annots.tsv	BGC0000022__EAA65604.1	BGC0000022__EAA65604.1	AN1036.2|Polyketide (asperfuranone)|hypothetical protein (biosynthetic)	Aspergillus nidulans FGSC A4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000022__EAA65604.1	None	None	None
bothref99_annots.tsv	BGC0000027__AGN71604.1	BGC0000027__AGN71604.1	2362MpPKS5|Polyketide (ankaflavin/monascin/rubropunctatine/monascorubrin)|conidial yellow pigment biosynthesis polyketide synthase (biosynthetic)	Monascus pilosus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000027__AGN71604.1	None	None	None
bothref99_annots.tsv	BGC0000030__CCT67991.1	BGC0000030__CCT67991.1	FFUJ_06742|Polyketide (bikaverin)|bikaverin cluster-polyketide synthase (biosynthetic)	Fusarium fujikuroi IMI 58289	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	BGC0000030__CCT67991.1	None	None	None
bothref99_annots.tsv	BGC0000037__CBF69451.1	BGC0000037__CBF69451.1	ANIA_06448|Polyketide (cichorine)|polyketide synthase, putative (JCVI) (biosynthetic)	Aspergillus nidulans FGSC A4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000037__CBF69451.1	None	None	None
bothref99_annots.tsv	BGC0000039__BAC20564.1	BGC0000039__BAC20564.1	mlcA|Polyketide (compactin)|polyketide synthase (biosynthetic)	Penicillium citrinum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000039__BAC20564.1	None	None	None
bothref99_annots.tsv	BGC0000039__BAC20566.1	BGC0000039__BAC20566.1	mlcB|Polyketide (compactin)|polyketide synthase (biosynthetic)	Penicillium citrinum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000039__BAC20566.1	None	None	None
bothref99_annots.tsv	BGC0000045__AGC95321.1	BGC0000045__AGC95321.1	curS2|Polyketide (dehydrocurvularin)|CurS2 (biosynthetic)	Aspergillus terreus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000045__AGC95321.1	None	None	None
bothref99_annots.tsv	BGC0000045__AGC95324.1	BGC0000045__AGC95324.1	curS1|Polyketide (dehydrocurvularin)|CurS1 (biosynthetic)	Aspergillus terreus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000045__AGC95324.1	None	None	None
bothref99_annots.tsv	BGC0000046__ACZ57548.1	BGC0000046__ACZ57548.1	DEP5|Polyketide (depudecin)|polyketide synthase (biosynthetic)	Alternaria brassicicola	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	BGC0000046__ACZ57548.1	None	None	None
bothref99_annots.tsv	BGC0000048__AAZ95017.1	BGC0000048__AAZ95017.1	pksA|Polyketide (dothistromin)|polyketide synthase (biosynthetic)	Dothistroma septosporum	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	BGC0000048__AAZ95017.1	None	None	None
bothref99_annots.tsv	BGC0000057__EAA59563.1	BGC0000057__EAA59563.1	AN7909.2|Polyketide (F9775A/F9775B/orsellinic acid)|polyketide synthase (biosynthetic)	Aspergillus nidulans FGSC A4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	BGC0000057__EAA59563.1	None	None	None
bothref99_annots.tsv	BGC0000062__AAD43562.2	BGC0000062__AAD43562.2	FUM1|Polyketide (fumonisin B1)|Fum1p (biosynthetic)	[Gibberella] fujikuroi var. moniliformis	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	BGC0000062__AAD43562.2	None	None	None
bothref99_annots.tsv	BGC0000063__ACB12550.1	BGC0000063__ACB12550.1	fum1|Polyketide (fumonisin)|Fum1 (biosynthetic)	Fusarium oxysporum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	BGC0000063__ACB12550.1	None	None	None
